Proposal,Overall score,Votes cast,YES,NO,Result,Meets approval threshold,REQUESTED $,STATUS,FUND DEPLETION,Reason for not funded status
MLabs - CTL Blockfrost Backend,4.50,617,"₳226,478,708","₳22,337,961","₳204,140,747",YES,"$50,000",FUNDED,$0,
Unreal Engine Integration,4.71,827,"₳161,663,743","₳20,577,958","₳141,085,785",YES,"$13,500",NOT FUNDED,$0,Over Budget
"CardanoPress, A Plugin for Builders",4.59,698,"₳150,513,144","₳20,488,861","₳130,024,283",YES,"$12,000",NOT FUNDED,$0,Over Budget
Google Search Blockfrost,4.24,398,"₳84,660,894","₳27,637,796","₳57,023,098",YES,"$12,000",NOT FUNDED,$0,Over Budget
Tutorial on Building a wallet,3.22,276,"₳56,741,590","₳16,086,383","₳40,655,207",YES,"$2,200",NOT FUNDED,$0,Over Budget
A Verify and Pay System,3.61,278,"₳56,389,534","₳22,424,187","₳33,965,347",YES,"$12,500",NOT FUNDED,$0,Over Budget
Watch Wallet for Cardano,3.88,351,"₳62,586,549","₳31,053,704","₳31,532,845",YES,"$12,584",NOT FUNDED,$0,Over Budget
Cardano Script Explorer 🔎📜,2.21,276,"₳42,872,220","₳20,597,671","₳22,274,549",YES,$600,NOT FUNDED,$0,Over Budget
Digital Twin platform,3.73,242,"₳39,084,826","₳29,501,513","₳9,583,313",YES,"$5,000",NOT FUNDED,$0,Over Budget
